HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"1a Trieu Viet Vuong,  Vietnam",0,,,,Nha Tren Cay,$43 ,$42 ,"$42, - ,$43","Which popular attractions are close to Nha Tren Cay?, ,What are some restaurants close to Nha Tren Cay?, ",,,,,,0,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17677732-Reviews-Nha_Tren_Cay-Da_Lat_Lam_Dong_Province.html
"18/4 Le Van Tam, P10,  Vietnam",5,74,,,Khach San Dieu Thong,$43 ,$42 ,"$42, - ,$43","Which popular attractions are close to Khach San Dieu Thong?, ,What are some restaurants close to Khach San Dieu Thong?, ",,,,,,30,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17731634-Reviews-Khach_San_Dieu_Thong-Da_Lat_Lam_Dong_Province.html
"80 - 82, Duong 3 / 2, P 1,  Vietnam",5,81,22,,Phuong Hanh Hotel,,Vietnam,"Vietnam,,","Which popular attractions are close to Phuong Hanh Hotel?, ,What are some of the property amenities at Phuong Hanh Hotel?, ,What food & drink options are available at Phuong Hanh Hotel?, ,What are some restaurants close to Phuong Hanh Hotel?, ,Does Phuong Hanh Hotel have airport transportation?, ,Is Phuong Hanh Hotel located near the city center?, ,Are any cleaning services offered at Phuong Hanh Hotel?, ",22,55 reviews,#114 of 799 B&Bs / Inns in ,3.5,,42,Very good,28,,13,https://www.tripadvisor.com/Hotel_Review-g293922-d1884543-Reviews-Phuong_Hanh_Hotel-Da_Lat_Lam_Dong_Province.html
"252 To Hien Thanh,  Vietnam",5,54,116,"English, Chinese, Vietnamese", Mr. Happy Homestay,$15 ,$11 ,"$11, - ,$15","Which popular attractions are close to  Mr. Happy Homestay?, ,What are some of the property amenities at  Mr. Happy Homestay?, ,What food & drink options are available at  Mr. Happy Homestay?, ,Is parking available at  Mr. Happy Homestay?, ,What are some restaurants close to  Mr. Happy Homestay?, ,Does  Mr. Happy Homestay have an airport shuttle?, ,Are any cleaning services offered at  Mr. Happy Homestay?, ,Does  Mr. Happy Homestay offer any business services?, ,Which languages are spoken by the staff at  Mr. Happy Homestay?, ",41,56 reviews,"#18 of 1,320 Specialty lodging in ",5,,46,Excellent,,"Great View,Budget",34,https://www.tripadvisor.com/Hotel_Review-g293922-d13206258-Reviews-Da_Lat_Mr_Happy_Homestay-Da_Lat_Lam_Dong_Province.html
"20 Tran Binh Trong Ward 5,  Vietnam",2,69,29,"English, Vietnamese",Robins Villa,$29 ,$17 ,"$17, - ,$29","Which popular attractions are close to Robins Villa?, ,What are some of the property amenities at Robins Villa?, ,What food & drink options are available at Robins Villa?, ,Is parking available at Robins Villa?, ,What are some restaurants close to Robins Villa?, ,Does Robins Villa have airport transportation?, ,Is Robins Villa located near the city center?, ,Are any cleaning services offered at Robins Villa?, ,Which languages are spoken by the staff at Robins Villa?, ,Are there any historical sites close to Robins Villa?, ",17,56 reviews,#8 of 799 B&Bs / Inns in ,4.5,3.0 of 5 bubbles,11,Excellent,9,"Charming,Family",7,https://www.tripadvisor.com/Hotel_Review-g293922-d13085878-Reviews-Robins_Villa-Da_Lat_Lam_Dong_Province.html
"27BL Yersin, Ward 9,  Vietnam",1,45,,"English, Vietnamese",Moc Lan Villa,$52 ,$44 ,"$44, - ,$52","Which popular attractions are close to Moc Lan Villa?, ,What are some of the property amenities at Moc Lan Villa?, ,Which room amenities are available at Moc Lan Villa?, ,What food & drink options are available at Moc Lan Villa?, ,Is parking available at Moc Lan Villa?, ,What are some restaurants close to Moc Lan Villa?, ,Are any cleaning services offered at Moc Lan Villa?, ,Are pets allowed at Moc Lan Villa?, ,Which languages are spoken by the staff at Moc Lan Villa?, ",,,,,,28,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13405591-Reviews-Moc_Lan_Villa-Da_Lat_Lam_Dong_Province.html
"01 Cao Ba Quat, Phuong 7,  Vietnam",4,47,,,Miami  - Villa Minh Khue,$172 ,$43 ,"$43, - ,$172","Which popular attractions are close to Miami  - Villa Minh Khue?, ,What are some restaurants close to Miami  - Villa Minh Khue?, ",,,,,,28,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17353019-Reviews-Miami_Da_Lat_Villa_Minh_Khue-Da_Lat_Lam_Dong_Province.html
"9a Hai Ba Trung,  Vietnam",26,88,8,,Newland Hostel,,Newland Hostel,"Newland Hostel,Vietnam,","Which popular attractions are close to Newland Hostel?, ,What are some of the property amenities at Newland Hostel?, ,What food & drink options are available at Newland Hostel?, ,Is parking available at Newland Hostel?, ,What are some restaurants close to Newland Hostel?, ,Does Newland Hostel have an airport shuttle?, ,Does Newland Hostel have airport transportation?, ,Is Newland Hostel located near the city center?, ",18,56 reviews,"#56 of 1,320 Specialty lodging in ",4.5,,120,Excellent,5,,8,https://www.tripadvisor.com/Hotel_Review-g293922-d4753690-Reviews-Newland_Hostel-Da_Lat_Lam_Dong_Province.html
"27C/2 Thi Sach Street, Ward 6,  Vietnam",3,80,,,Fami's Home,$47 ,$42 ,"$42, - ,$47","Which popular attractions are close to Fami's Home?, ,What are some of the property amenities at Fami's Home?, ,Is parking available at Fami's Home?, ,What are some restaurants close to Fami's Home?, ,Does Fami's Home have airport transportation?, ,Is Fami's Home located near the city center?, ,Are any cleaning services offered at Fami's Home?, ",,3 reviews,#108 of 799 B&Bs / Inns in ,4.5,,23,Excellent,5,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12239073-Reviews-Fami_s_Home-Da_Lat_Lam_Dong_Province.html
"20 Phan Nhu Thach,  Vietnam",22,90,81,"English, Vietnamese",Iris Dalat Hotel,$51 ,$33 ,"$33, - ,$51","Which popular attractions are close to Iris Dalat Hotel?, ,What are some of the property amenities at Iris Dalat Hotel?, ,What are some restaurants close to Iris Dalat Hotel?, ,Does Iris Dalat Hotel have airport transportation?, ,Is Iris Dalat Hotel located near the city center?, ,Are any cleaning services offered at Iris Dalat Hotel?, ,Which languages are spoken by the staff at Iris Dalat Hotel?, ",36,57 reviews,"#76 of 1,320 Specialty lodging in ",3.5,3.0 of 5 bubbles,132,Very good,,"Business,Family",7,https://www.tripadvisor.com/Hotel_Review-g293922-d10333054-Reviews-Iris_Dalat_Hotel-Da_Lat_Lam_Dong_Province.html
"10 Bui Thi Xuan,  Vietnam",7,84,86,,Kings Hotel Dalat,$67 ,$28 ,"$28, - ,$67","Which popular attractions are close to Kings Hotel Dalat?, ,What are some of the property amenities at Kings Hotel Dalat?, ,What food & drink options are available at Kings Hotel Dalat?, ,What are some restaurants close to Kings Hotel Dalat?, ,Are there opportunities to exercise at Kings Hotel Dalat?, ,Does Kings Hotel Dalat have airport transportation?, ,Is Kings Hotel Dalat located near the city center?, ",31,57 reviews,#120 of 819 hotels in ,3,4.0 of 5 bubbles,70,Average,,Centrally Located,14,https://www.tripadvisor.com/Hotel_Review-g293922-d10161857-Reviews-Kings_Hotel_Dalat-Da_Lat_Lam_Dong_Province.html
"25 Khe Sanh Ward 10,  Vietnam",0,,,,Duly Homestay,$56 ,$44 ,"$44, - ,$56","Which popular attractions are close to Duly Homestay?, ,What are some of the property amenities at Duly Homestay?, ,What food & drink options are available at Duly Homestay?, ,Is parking available at Duly Homestay?, ,What are some restaurants close to Duly Homestay?, ,Does Duly Homestay have airport transportation?, ",,1 review,"#328 of 1,320 Specialty lodging in ",4,,0,Very good,7,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13743115-Reviews-Duly_Homestay-Da_Lat_Lam_Dong_Province.html
"3 Le Thi Hong Gam Street Ward 1,  6770000 Vietnam",12,89,16,,Das Bavico Hotel ,$218 ,$23 ,"$23, - ,$218","Which popular attractions are close to Das Bavico Hotel ?, ,What are some of the property amenities at Das Bavico Hotel ?, ,What food & drink options are available at Das Bavico Hotel ?, ,Is parking available at Das Bavico Hotel ?, ,What are some restaurants close to Das Bavico Hotel ?, ,Is Das Bavico Hotel  located near the city center?, ,Are there any historical sites close to Das Bavico Hotel ?, ",16,16 reviews,#159 of 819 hotels in ,2.5,3.0 of 5 bubbles,100,Average,20,,5,https://www.tripadvisor.com/Hotel_Review-g293922-d10822486-Reviews-Das_Bavico_Hotel_Da_Lat-Da_Lat_Lam_Dong_Province.html
,0,,,,Myrtle Villa Dalat,$52 ,$45 ,"$45, - ,$52",,,,,,,0,,19,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20001595-Reviews-Myrtle_Villa_Dalat-Da_Lat_Lam_Dong_Province.html
"38 Tran Phu 38/14 Tran Phu Phuong 4,  Vietnam",4,81,,,PONY's HT ,$464 ,$46 ,"$46, - ,$464","Which popular attractions are close to PONY's HT ?, ,What are some restaurants close to PONY's HT ?, ,Is PONY's HT  located near the city center?, ",,,,,,41,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17637260-Reviews-PONY_s_HT_Da_Lat-Da_Lat_Lam_Dong_Province.html
"14 Huynh Khuc Khang Ward 4,  670000 Vietnam",5,79,26,Vietnamese,Dalat Boutique PNP Hotel,$28 ,$13 ,"$13, - ,$28","Which popular attractions are close to Dalat Boutique PNP Hotel?, ,What are some of the property amenities at Dalat Boutique PNP Hotel?, ,What food & drink options are available at Dalat Boutique PNP Hotel?, ,Is parking available at Dalat Boutique PNP Hotel?, ,What are some restaurants close to Dalat Boutique PNP Hotel?, ,Does Dalat Boutique PNP Hotel have an airport shuttle?, ,Does Dalat Boutique PNP Hotel have airport transportation?, ,Is Dalat Boutique PNP Hotel located near the city center?, ,Are there any historical sites close to Dalat Boutique PNP Hotel?, ",4,60 reviews,#9 of 819 hotels in ,5,,36,Excellent,34,"Romantic,Charming",1,https://www.tripadvisor.com/Hotel_Review-g293922-d17642980-Reviews-Dalat_Boutique_PNP_Hotel-Da_Lat_Lam_Dong_Province.html
"88 Ly Tu Trong,  Vietnam",17,89,93,"English, Vietnamese",Stop and Go Boutique Hotel,$38 ,$26 ,"$26, - ,$38","Which popular attractions are close to Stop and Go Boutique Hotel?, ,What are some of the property amenities at Stop and Go Boutique Hotel?, ,Which room amenities are available at Stop and Go Boutique Hotel?, ,What food & drink options are available at Stop and Go Boutique Hotel?, ,Is parking available at Stop and Go Boutique Hotel?, ,What are some restaurants close to Stop and Go Boutique Hotel?, ,Is Stop and Go Boutique Hotel located near the city center?, ,Which languages are spoken by the staff at Stop and Go Boutique Hotel?, ,Are there any historical sites close to Stop and Go Boutique Hotel?, ",4,60 reviews,#19 of 799 B&Bs / Inns in ,4,,105,Very good,12,"Romantic,Charming",11,https://www.tripadvisor.com/Hotel_Review-g293922-d9798191-Reviews-Stop_and_Go_Boutique_Hotel-Da_Lat_Lam_Dong_Province.html
"A19 Tran Le Phuong 4,  Vietnam",5,78,52,"English, Vietnamese",Pizza Tet Hostel,$21 ,$11 ,"$11, - ,$21","Which popular attractions are close to Pizza Tet Hostel?, ,What are some of the property amenities at Pizza Tet Hostel?, ,What food & drink options are available at Pizza Tet Hostel?, ,Is parking available at Pizza Tet Hostel?, ,What are some restaurants close to Pizza Tet Hostel?, ,Does Pizza Tet Hostel have an airport shuttle?, ,Does Pizza Tet Hostel have airport transportation?, ,Is Pizza Tet Hostel located near the city center?, ,Which languages are spoken by the staff at Pizza Tet Hostel?, ",9,61 reviews,"#46 of 1,320 Specialty lodging in ",4.5,,34,Excellent,6,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293922-d7806651-Reviews-Pizza_Tet_Hostel-Da_Lat_Lam_Dong_Province.html
"332c Nguyen Tu Luc,  Vietnam",90,39,,,Dat Viet Flower,$69 ,$46 ,"$46, - ,$69","Which popular attractions are close to Dat Viet Flower?, ,What are some restaurants close to Dat Viet Flower?, ",,,,,,514,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d16736771-Reviews-Dat_Viet_Flower-Da_Lat_Lam_Dong_Province.html
,0,,,,Redpine Condotel,$94 ,$26 ,"$26, - ,$94",,,,,,,0,,18,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20811963-Reviews-Redpine_Condotel-Da_Lat_Lam_Dong_Province.html
"35 Suong Nguyet Anh Phuong 9,  Vietnam",9,64,,,The Light Homestay,$241 ,$137 ,"$137, - ,$241","Which popular attractions are close to The Light Homestay?, ,What are some restaurants close to The Light Homestay?, ",,,,,,57,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17674254-Reviews-The_Light_Homestay-Da_Lat_Lam_Dong_Province.html
"6 Dong Da,  Vietnam",7,51,,,Brumeux Villa,$50 ,$48 ,"$48, - ,$50","Which popular attractions are close to Brumeux Villa?, ,What are some restaurants close to Brumeux Villa?, ",,,,,,56,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d18341517-Reviews-Brumeux_Villa-Da_Lat_Lam_Dong_Province.html
"2/2 Nguyen Trai Street,  670000 Vietnam",6,79,67,"English, Vietnamese",Oscar Hostel,,Vietnam,"Vietnam,,","Which popular attractions are close to Oscar Hostel?, ,What are some of the property amenities at Oscar Hostel?, ,What food & drink options are available at Oscar Hostel?, ,Is parking available at Oscar Hostel?, ,What are some restaurants close to Oscar Hostel?, ,Does Oscar Hostel have airport transportation?, ,Are any cleaning services offered at Oscar Hostel?, ,Which languages are spoken by the staff at Oscar Hostel?, ",15,63 reviews,"#15 of 1,320 Specialty lodging in ",5,,24,Excellent,3,"Budget,Family",11,https://www.tripadvisor.com/Hotel_Review-g293922-d12218804-Reviews-Oscar_Hostel-Da_Lat_Lam_Dong_Province.html
"01 Nguyen Thi Minh Khai Ward 1,  670000 Vietnam",25,91,26,"English, Vietnamese",Nice Dream Hotel,$70 ,$27 ,"$27, - ,$70","Which popular attractions are close to Nice Dream Hotel?, ,What are some of the property amenities at Nice Dream Hotel?, ,What food & drink options are available at Nice Dream Hotel?, ,Is parking available at Nice Dream Hotel?, ,What are some restaurants close to Nice Dream Hotel?, ,Does Nice Dream Hotel have airport transportation?, ,Is Nice Dream Hotel located near the city center?, ,Does Nice Dream Hotel offer any business services?, ,Which languages are spoken by the staff at Nice Dream Hotel?, ,Are there any historical sites close to Nice Dream Hotel?, ",10,66 reviews,"#75 of 1,320 Specialty lodging in ",3.5,3.0 of 5 bubbles,139,Very good,50,,4,https://www.tripadvisor.com/Hotel_Review-g293922-d8730472-Reviews-Nice_Dream_Hotel-Da_Lat_Lam_Dong_Province.html
"203 Co Loa,  670000 Vietnam",4,80,5,English,Koi Hostel,$52 ,$50 ,"$50, - ,$52","Which popular attractions are close to Koi Hostel?, ,What are some of the property amenities at Koi Hostel?, ,What food & drink options are available at Koi Hostel?, ,Is parking available at Koi Hostel?, ,What are some restaurants close to Koi Hostel?, ,Does Koi Hostel have an airport shuttle?, ,Does Koi Hostel have airport transportation?, ,Is Koi Hostel located near the city center?, ,Are any cleaning services offered at Koi Hostel?, ",9,20 reviews,"#48 of 1,320 Specialty lodging in ",5,,35,Excellent,6,"Quaint,Charming",8,https://www.tripadvisor.com/Hotel_Review-g293922-d12730312-Reviews-Koi_Hostel-Da_Lat_Lam_Dong_Province.html
"20 Vo Thi Sau Street,  Vietnam",8,83,14,"English, Japanese, Vietnamese",Nice Bee,$13 ,$11 ,"$11, - ,$13","Which popular attractions are close to Nice Bee?, ,What are some of the property amenities at Nice Bee?, ,Is parking available at Nice Bee?, ,What are some restaurants close to Nice Bee?, ,Does Nice Bee have airport transportation?, ,Is Nice Bee located near the city center?, ,Which languages are spoken by the staff at Nice Bee?, ",8,67 reviews,"#24 of 1,320 Specialty lodging in ",5,,75,Excellent,14,"Charming,Budget",1,https://www.tripadvisor.com/Hotel_Review-g293922-d11878767-Reviews-Nice_Bee-Da_Lat_Lam_Dong_Province.html
"25/1 Quang Trung Ward 9,  670000 Vietnam",8,73,,,Ruby House,$52 ,$51 ,"$51, - ,$52","Which popular attractions are close to Ruby House?, ,What are some restaurants close to Ruby House?, ",,,,,,22,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13846901-Reviews-Ruby_House-Da_Lat_Lam_Dong_Province.html
"801 Tran Phu Street opposite Coop Mark Bao Loc, Bao Loc 70000 Vietnam",1,52,1,"English, Vietnamese",Khach san Sao Vang,$49 ,$24 ,"$24, - ,$49","Which popular attractions are close to Khach san Sao Vang?, ,What are some of the property amenities at Khach san Sao Vang?, ,Which room amenities are available at Khach san Sao Vang?, ,What food & drink options are available at Khach san Sao Vang?, ,Is parking available at Khach san Sao Vang?, ,What are some restaurants close to Khach san Sao Vang?, ,Does Khach san Sao Vang have airport transportation?, ,Is Khach san Sao Vang located near the city center?, ,Are any cleaning services offered at Khach san Sao Vang?, ,Does Khach san Sao Vang offer any business services?, ",1,1 review,#4 of 14 B&Bs / Inns in Bao Loc,5,,18,Excellent,42,,7,https://www.tripadvisor.com/Hotel_Review-g2062759-d12273618-Reviews-Khach_san_Sao_Vang-Bao_Loc_Lam_Dong_Province.html
"121 Yersin Ward 9,  670000 Vietnam",9,65,,,An Villa,$133 ,$52 ,"$52, - ,$133","Which popular attractions are close to An Villa?, ,What are some of the property amenities at An Villa?, ,What food & drink options are available at An Villa?, ,Is parking available at An Villa?, ,What are some restaurants close to An Villa?, ,Are pets allowed at An Villa?, ,Are there any historical sites close to An Villa?, ",,,,,,55,,6,,,https://www.tripadvisor.com/Hotel_Review-g293922-d15122560-Reviews-An_Villa-Da_Lat_Lam_Dong_Province.html
"16 Tran Hung Dao Street,  Vietnam",4,76,99,"English, Chinese, Vietnamese",Dalat Cadasa Resort,$84 ,$25 ,"$25, - ,$84","Which popular attractions are close to Dalat Cadasa Resort?, ,What are some of the property amenities at Dalat Cadasa Resort?, ,Which room amenities are available at Dalat Cadasa Resort?, ,What food & drink options are available at Dalat Cadasa Resort?, ,Is parking available at Dalat Cadasa Resort?, ,What are some restaurants close to Dalat Cadasa Resort?, ,Does Dalat Cadasa Resort have airport transportation?, ,Does Dalat Cadasa Resort offer any business services?, ,Which languages are spoken by the staff at Dalat Cadasa Resort?, ,Are there any historical sites close to Dalat Cadasa Resort?, ",8,68 reviews,#43 of 819 hotels in ,3.5,3.0 of 5 bubbles,18,Very good,60,Family,6,https://www.tripadvisor.com/Hotel_Review-g293922-d1953697-Reviews-Dalat_Cadasa_Resort-Da_Lat_Lam_Dong_Province.html
"64 Truong Cong Dinh St.,  Vietnam",29,90,,,Peace Hotel (Hoa Binh),,Vietnam,"Vietnam,,","Which popular attractions are close to Peace Hotel (Hoa Binh)?, ,What are some restaurants close to Peace Hotel (Hoa Binh)?, ,Is Peace Hotel (Hoa Binh) located near the city center?, ,Are there any historical sites close to Peace Hotel (Hoa Binh)?, ",,68 reviews,#103 of 819 hotels in ,3,1.0 of 5 bubbles,143,Average,27,Budget,,https://www.tripadvisor.com/Hotel_Review-g293922-d1073976-Reviews-Peace_Hotel_Hoa_Binh-Da_Lat_Lam_Dong_Province.html
"9A Ham Da alley, Hoang Hoa Tham street,  Vietnam",7,52,,,J'aime Dalat Homestay,$54 ,$43 ,"$43, - ,$54","Which popular attractions are close to J'aime Dalat Homestay?, ,What are some restaurants close to J'aime Dalat Homestay?, ",,,,,,15,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19378299-Reviews-J_aime_Dalat_Homestay-Da_Lat_Lam_Dong_Province.html
"234/12 Tran Phu Street Loc Son Ward, Bao Loc Vietnam",0,,,,Doi Dep Villa,$71 ,$55 ,"$55, - ,$71","Which popular attractions are close to Doi Dep Villa?, ",,,,,,0,,Bao Loc,,,https://www.tripadvisor.com/Hotel_Review-g2062759-d19139338-Reviews-Doi_Dep_Villa-Bao_Loc_Lam_Dong_Province.html
"Lan Anh , Tran Nhan Ton, Sub-Area 157,  Vietnam",0,,,,Stayconcept Room in Resort Villa,$56 ,$55 ,"$55, - ,$56","Which popular attractions are close to Stayconcept Room in Resort Villa?, ,What are some restaurants close to Stayconcept Room in Resort Villa?, ",,,,,,0,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20288881-Reviews-Stayconcept_Room_in_Resort_Villa-Da_Lat_Lam_Dong_Province.html
"44 - 46 Nguyen Chi Thanh, Ward 1,  Vietnam",17,91,29,Vietnamese,Pho Nui - Mountain Town Hotel,$33 ,$22 ,"$22, - ,$33","Which popular attractions are close to Pho Nui - Mountain Town Hotel?, ,What are some of the property amenities at Pho Nui - Mountain Town Hotel?, ,Which room amenities are available at Pho Nui - Mountain Town Hotel?, ,What food & drink options are available at Pho Nui - Mountain Town Hotel?, ,Is parking available at Pho Nui - Mountain Town Hotel?, ,What are some restaurants close to Pho Nui - Mountain Town Hotel?, ,Does Pho Nui - Mountain Town Hotel have airport transportation?, ,Is Pho Nui - Mountain Town Hotel located near the city center?, ,Does Pho Nui - Mountain Town Hotel offer any business services?, ",29,70 reviews,#46 of 799 B&Bs / Inns in ,3.5,3.0 of 5 bubbles,104,Very good,33,"Mid-range,Centrally Located",17,https://www.tripadvisor.com/Hotel_Review-g293922-d4014271-Reviews-Pho_Nui_Mountain_Town_Hotel-Da_Lat_Lam_Dong_Province.html
"118 KQH Yersin,  Vietnam",3,75,,"English, Vietnamese",Cherry's House,$92 ,$57 ,"$57, - ,$92","Which popular attractions are close to Cherry's House?, ,What are some of the property amenities at Cherry's House?, ,Which room amenities are available at Cherry's House?, ,Is parking available at Cherry's House?, ,What are some restaurants close to Cherry's House?, ,Does Cherry's House have an airport shuttle?, ,Does Cherry's House have airport transportation?, ,Is Cherry's House located near the city center?, ,Are any cleaning services offered at Cherry's House?, ,Which languages are spoken by the staff at Cherry's House?, ",,1 review,"#302 of 1,320 Specialty lodging in ",5,,20,Excellent,4,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12947785-Reviews-Cherry_s_House-Da_Lat_Lam_Dong_Province.html
"22/2 Phu Dong Thien Vuong,  Vietnam",3,59,75,"English, Chinese, Vietnamese",Hoang Loc Villa Hotel,$47 ,$18 ,"$18, - ,$47","Which popular attractions are close to Hoang Loc Villa Hotel?, ,What are some of the property amenities at Hoang Loc Villa Hotel?, ,Which room amenities are available at Hoang Loc Villa Hotel?, ,Is parking available at Hoang Loc Villa Hotel?, ,What are some restaurants close to Hoang Loc Villa Hotel?, ,Are there opportunities to exercise at Hoang Loc Villa Hotel?, ,Which languages are spoken by the staff at Hoang Loc Villa Hotel?, ",16,71 reviews,#11 of 799 B&Bs / Inns in ,4.5,2.5 of 5 bubbles,37,Excellent,10,Charming,6,https://www.tripadvisor.com/Hotel_Review-g293922-d3545835-Reviews-Hoang_Loc_Villa_Hotel-Da_Lat_Lam_Dong_Province.html
"Tuyen Lam Lake, Ward 4 Plot Number 6, Area 162,  61000 Vietnam",0,,173,"English, Vietnamese",Binh An Village Dalat,$198 ,$114 ,"$114, - ,$198","Which popular attractions are close to Binh An Village Dalat?, ,What are some of the property amenities at Binh An Village Dalat?, ,What food & drink options are available at Binh An Village Dalat?, ,Is parking available at Binh An Village Dalat?, ,What are some restaurants close to Binh An Village Dalat?, ,Does Binh An Village Dalat have an airport shuttle?, ,Does Binh An Village Dalat have airport transportation?, ,Does Binh An Village Dalat offer any business services?, ,Which languages are spoken by the staff at Binh An Village Dalat?, ,Are there any historical sites close to Binh An Village Dalat?, ,Is Binh An Village Dalat accessible?, ",91,72 reviews,#23 of 819 hotels in ,4.5,4.0 of 5 bubbles,0,Excellent,17,Romantic,43,https://www.tripadvisor.com/Hotel_Review-g293922-d6460260-Reviews-Binh_An_Village_Dalat-Da_Lat_Lam_Dong_Province.html
"152, 3/2 Street, Ward 5,  Vietnam",6,63,,"English, Vietnamese",Hi  Guesthouse,$65 ,$57 ,"$57, - ,$65","Which popular attractions are close to Hi  Guesthouse?, ,Which room amenities are available at Hi  Guesthouse?, ,What are some restaurants close to Hi  Guesthouse?, ,Which languages are spoken by the staff at Hi  Guesthouse?, ",,,,,,67,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d10361348-Reviews-Hi_Da_Lat_Guesthouse-Da_Lat_Lam_Dong_Province.html
"27 - 29 Dinh Tien Hoang,  670000 Vietnam",3,74,43,,Lamarque Dalat Villa,$108 ,$58 ,"$58, - ,$108","Which popular attractions are close to Lamarque Dalat Villa?, ,What are some of the property amenities at Lamarque Dalat Villa?, ,Which room amenities are available at Lamarque Dalat Villa?, ,What food & drink options are available at Lamarque Dalat Villa?, ,Is parking available at Lamarque Dalat Villa?, ,What are some restaurants close to Lamarque Dalat Villa?, ,Are there opportunities to exercise at Lamarque Dalat Villa?, ,Does Lamarque Dalat Villa have airport transportation?, ,Is Lamarque Dalat Villa located near the city center?, ,Are any cleaning services offered at Lamarque Dalat Villa?, ",12,12 reviews,"#77 of 1,320 Specialty lodging in ",4.5,3.0 of 5 bubbles,23,Excellent,7,,10,https://www.tripadvisor.com/Hotel_Review-g293922-d15353437-Reviews-Lamarque_Dalat_Villa-Da_Lat_Lam_Dong_Province.html
"Lot A6-A7 Hai Thuong,  Vietnam",25,90,,"English, Vietnamese",Huong Duong Hotel,$61 ,$59 ,"$59, - ,$61","Which popular attractions are close to Huong Duong Hotel?, ,What are some of the property amenities at Huong Duong Hotel?, ,What food & drink options are available at Huong Duong Hotel?, ,What are some restaurants close to Huong Duong Hotel?, ,Is Huong Duong Hotel located near the city center?, ,Which languages are spoken by the staff at Huong Duong Hotel?, ",,,,,,148,,50,,,https://www.tripadvisor.com/Hotel_Review-g293922-d8860598-Reviews-Huong_Duong_Hotel-Da_Lat_Lam_Dong_Province.html
"35 Thu Khoa Huan, Ward 1,  670000 Vietnam",25,90,24,,Tay Hostel,$13 ,$12 ,"$12, - ,$13","Which popular attractions are close to Tay Hostel?, ,What are some of the property amenities at Tay Hostel?, ,What food & drink options are available at Tay Hostel?, ,Is parking available at Tay Hostel?, ,What are some restaurants close to Tay Hostel?, ,Is Tay Hostel located near the city center?, ",12,75 reviews,"#26 of 1,320 Specialty lodging in ",4.5,1.0 of 5 bubbles,135,Excellent,9,"Trendy,Budget",1,https://www.tripadvisor.com/Hotel_Review-g293922-d10228112-Reviews-Tay_Hostel-Da_Lat_Lam_Dong_Province.html
"64 To Ngoc Van Street, Ward 1,  Vietnam",22,89,68,"English, Vietnamese",Thien Kim Guest House,$15 ,$10 ,"$10, - ,$15","Which popular attractions are close to Thien Kim Guest House?, ,What are some of the property amenities at Thien Kim Guest House?, ,Which room amenities are available at Thien Kim Guest House?, ,What food & drink options are available at Thien Kim Guest House?, ,What are some restaurants close to Thien Kim Guest House?, ,Does Thien Kim Guest House have an airport shuttle?, ,Is Thien Kim Guest House located near the city center?, ,Are any cleaning services offered at Thien Kim Guest House?, ,Which languages are spoken by the staff at Thien Kim Guest House?, ",10,76 reviews,#6 of 799 B&Bs / Inns in ,4.5,,121,Excellent,8,"Family,Charming",2,https://www.tripadvisor.com/Hotel_Review-g293922-d8536243-Reviews-Thien_Kim_Guest_House-Da_Lat_Lam_Dong_Province.html
"B42 Mac Dinh Chi, ward 4,  Vietnam",5,78,116,"English, Vietnamese",Europe Town,$13 ,$11 ,"$11, - ,$13","Which popular attractions are close to Europe Town?, ,What are some of the property amenities at Europe Town?, ,What food & drink options are available at Europe Town?, ,What are some restaurants close to Europe Town?, ,Is Europe Town located near the city center?, ,Which languages are spoken by the staff at Europe Town?, ",31,76 reviews,"#13 of 1,320 Specialty lodging in ",5,,39,Excellent,,"Trendy,Charming",18,https://www.tripadvisor.com/Hotel_Review-g293922-d12694077-Reviews-Europe_Town-Da_Lat_Lam_Dong_Province.html
